Sl no.,Date,Year,Headline,Description,cleaned_head_line,x0,x1,Cluster
11,17-11-2022,2022,"Buzzing Stocks | Wipro, Tata Power, Paytm and others in news today",Stocks to Watch: Check out the companies making headlines before the opening bell.,buzzing stocks wipro tata power paytm others news today,-0.37928199546521757,0.15098369065521028,Neutral
12,16-11-2022,2022,Gainers & Losers: 10 stocks that moved the most on November 16,"Power, realty and metal indices fell one percent each, while some buying was seen in the banking names.",gainers losers stocks moved november,-0.32875150837519784,0.7257222564255414,Negative
13,16-11-2022,2022,"Buzzing Stocks | Bharat Electronics, TCS, Nykaa, and others in news today",Stocks to Watch: Check out the companies making headlines before the opening bell.,buzzing stocks bharat electronics tcs nykaa others news today,-0.3808711159954388,0.10456473333355064,Neutral
14,15-11-2022,2022,Gainers & Losers: 10 stocks that moved the most on November 15,"On the sectoral front, auto, oil & gas, bank were up 0.5-1 percent. Broader indices underperformed the main indices with midcap and smallcap indices ending on a flat note.",gainers losers stocks moved november,-0.3287515083751978,0.7257222564255413,Negative
15,15-11-2022,2022,Balkrishna Industries shares gain on hopes of better margins from Q4,The tyre maker recorded 2.2 percent year-on-year decline in consolidated profit at Rs 382.3 crore in Q2FY23,balkrishna industries shares gain hopes better margins q,-0.3415231697373048,-0.5829717140366317,Neutral
16,15-11-2022,2022,LTI-Mindtree unlikely to make it to Nifty50 in March 2023 review,Nuvama believes the combined market cap will not qualify for the calculation period of August 2022 to January 2023,lti mindtree unlikely make nifty march review,-0.1036267234612704,-0.0014426847649576398,Neutral
17,15-11-2022,2022,Nifty100 ESG underperforms Nifty so far this year,"Analysts say the underperformance of the Nifty100 ESG index is due to poor returns on IT stocks like Tata Consultancy Services, Infosys, HCL Technologies and Wipro and financial heavyweights including the HDFC twins and Kotak Mahindra Bank",nifty esg underperforms nifty far year,-0.1036267234612706,-0.0014426847649576483,Neutral
18,15-11-2022,2022,"Buzzing Stocks | NMDC, Apollo Tyres, Mindtree, and others in news today",Stocks to Watch: Check out the companies making headlines before the opening bell.,buzzing stocks nmdc apollo tyres mindtree others news today,-0.3236168357375033,0.21565613205990503,Neutral
19,14-11-2022,2022,Gainers & Losers: 10 stocks that moved the most on November 14,"Among sectors, realty and metal indices were up a percent each, while FMCG was down a percent",gainers losers stocks moved november,-0.32875150837519784,0.7257222564255413,Negative
20,14-11-2022,2022,"Paytm lock-in expiry: Gains for Antfin, Alibaba and Elevation Capital, loss for Buffett","Alibaba, Antfin and SAIF Partners are likely to be first in line to sell their holdings in the fintech giant, as per market observers",paytm lock expiry gains antfin alibaba elevation capital loss buffett,-0.2859873154489876,-0.1111791489265678,Neutral
21,14-11-2022,2022,LIC clocks biggest gain since listing on strong Q2 show,The insurer is slowly increasing its market share in non-participating products as well,lic clocks biggest gain since listing strong q show,-0.1036267234612706,-0.0014426847649576463,Neutral
22,14-11-2022,2022,"Hindalco shares gains 5% on rise in LME prices, better than estimates numbers","The company reported a 36 percent drop in consolidated net profit at Rs 2,205 crore for the quarter ended September 30, 2022 from Rs 3,427 crore in the year-ago period.",hindalco shares gains rise lme prices better estimates numbers,-0.3415231697373049,-0.5829717140366317,Neutral
23,14-11-2022,2022,"Buzzing Stocks | ONGC, Zee Entertainment, LIC, and others in news today",Stocks to Watch: Check out the companies making headlines before the opening bell.,buzzing stocks ongc zee entertainment lic others news today,-0.3236168357375033,0.21565613205990503,Neutral
24,14-11-2022,2022,Movers & Shakers: 10 stocks that moved the most last week,"Zomato, Britannia Industries, Aurobindo Pharma, Indigo Paints, and Ramco Cements among stocks that shook the most",movers shakers stocks moved last week,-0.2454215337710516,0.4945443693124267,Negative
25,17-11-2022,2022,"Asian stocks mixed, dollar finds footing as traders assess Fed outlook","Renewed expectations the Fed will keep hiking rates have increased concerns about the economic outlook. The U.S. Treasury yield curve remained deeply inverted in Tokyo trading, suggesting investors are bracing for recession.",asian stocks mixed dollar finds footing traders assess fed outlook,0.06912553231890449,0.13059682831827674,Neutral
26,17-11-2022,2022,"Wall Street ends down after Target outlook, Micron supply cut",Shares of Target Corp (TGT.N) tumbled 13.1% after the big-box retailer forecast a surprise drop in holiday-quarter sales.,wall street ends target outlook micron supply cut,0.7225931200293723,0.02504907646821738,Positive
27,15-11-2022,2022,Asia shares mixed while oil falls on China COVID outlook,"MSCI's broadest index of Asia-Pacific shares outside Japan was up 0.1%, following mild losses for U.S. overnight.",asia shares mixed oil falls china covid outlook,-0.26988079111522706,-0.5038434125896061,Neutral
28,14-11-2022,2022,Asia shares pause as Fed warns against exuberance,"A modest miss on U.S. inflation was enough to see two-year Treasury yields dive 33 basis points for the week and the dollar lose almost 4%, the fourth biggest weekly decline since the era of free-floating exchange rates began over 50 years ago.",asia shares pause fed warns exuberance,-0.09591511301815628,-0.4763641554631584,Neutral
29,11-11-2022,2022,Asia stocks surge as cooling inflation feeds hopes Fed will ease up,MSCI's broadest index of Asia-Pacific shares outside Japan jumped 3.72%. Australia's S&P/ASX 200 index climbed 2.43% and Japan's Nikkei rose 3%.,asia stocks surge cooling inflation feeds hopes fed ease,0.01091052054130556,-0.026611408131942467,Neutral
30,11-11-2022,2022,Nasdaq 100 adds $700 billion in value as US inflation eases,"Inflation cooled in October by more than what was forecast, suggesting that one of the biggest headwinds facing tech could be easing. It could also give the Fed room to slow its pace of interest-rate hikes, easing another strain on the multiple of so-called growth stocks.",nasdaq adds billion value us inflation eases,-0.06546069042433557,-0.054023579927699995,Neutral
31,11-11-2022,2022,Asian markets to jump in ‘sympathy rally’ as inflation eases,"Analysts expect technology and other rate-sensitive stocks to jump, but caution that rising Covid-19 cases in China and the turmoil in cryptocurrencies may cap gains. A weaker dollar also offers a tailwind for emerging market equities.",asian markets jump sympathy rally inflation eases,-0.0724191872509229,-0.030505554629342693,Neutral
32,11-11-2022,2022,Wall Street ends sharply higher on sign of cooling inflation,Stocks in sectors across the board surged as the latest consumer price data cheered investors worried that ongoing interest rate hikes could hobble the U.S. economy.,wall street ends sharply higher sign cooling inflation,0.4890638681042338,-0.01971011699241018,Positive
33,10-11-2022,2022,"Asian shares fall ahead of US CPI, crypto worries mount","With no final results available from the U.S. mid-term elections, investors were turning to the upcoming inflation data later in the day, which are likely to show a decline in both the monthly and yearly core numbers for October to 0.5% and 6.5%, respectively, according to a Reuters poll.",asian shares fall ahead us cpi crypto worries mount,-0.24390605219525624,-0.4200806766677025,Neutral
34,10-11-2022,2022,"Wall Street ends lower after midterm election, CPI in focus","Republicans were still favored to win control of the House of Representatives but key races were too close to call, with a better-than-expected showing by Democrats diminishing the prospect of a so-called red wave of Republican gains.",wall street ends lower midterm election cpi focus,0.7225931200293723,0.02504907646821738,Positive
35,09-11-2022,2022,Asia stocks advance as investors await US midterm election results,"MSCI's broadest index of Asia-Pacific shares outside Japan was 0.45% higher, while Japan's Nikkei rose 0.2% and Australian stocks gained 0.70%.",asia stocks advance investors await us midterm election results,-0.12721248463614296,0.011448149710380977,Neutral
36,09-11-2022,2022,Wall Street ends higher as investors eye US midterms,"It was the third straight day of gains on the U.S. stock market, leaving the Dow Jones Industrial Average (.DJI) down less than 10% year-to-date.",wall street ends higher investors eye us midterms,0.49310632955008926,-0.028524188116305436,Positive
37,08-11-2022,2022,"Asian stocks rise on China reopening hopes, track Wall Street","MSCI's gauge of Asia Pacific stocks outside Japan was up 0.39% at 0134GMT. Hong Kong's Hang Seng index and China's benchmark CSI300 Index were up 0.3% and 0.14%, respectively.",asian stocks rise china reopening hopes track wall street,0.5635954747931133,0.19641609021579812,Positive
38,08-11-2022,2022,"US stocks end higher, Meta jumps as investors eye midterms","Republicans are favored to win a majority in the House of Representatives in the elections, with the Senate rated a toss-up by nonpartisan forecasters. Republicans could use a majority in either chamber to hinder Democratic President Joe Biden's agenda.",us stocks end higher meta jumps investors eye midterms,-0.027236114282169394,0.09208380021468757,Neutral
39,07-11-2022,2022,"Euro, sterling jump, dollar falters as market shifts to risk assets","A survey showed on Monday that investor morale in the euro zone improved in November, the first time it rose in three months, reflecting hopes that recent warmer temperatures and falling energy prices will prevent gas rationing on the continent this winter.",euro sterling jump dollar falters market shifts risk assets,-0.1036267234612706,-0.001442684764957647,Neutral
40,07-11-2022,2022,"Asia stocks resilient as Wall Street slips, China trade disappoints","Risk assets had rallied on Friday amid speculation China was preparing to relax its pandemic restrictions, but over the weekend health officials reiterated their commitment to the ""dynamic-clearing"" approach to COVID cases as soon as they emerge.",asia stocks resilient wall street slips china trade disappoints,0.41373340499202105,0.057012016544387686,Positive
41,04-11-2022,2022,Wall Street down for fourth straight day on Fed rate hike worry,"Following the Federal Reserve's statement on Wednesday, comments from Fed Chair Jerome Powell that it was ""very premature"" to be thinking about pausing its rate hikes sent stocks lower as U.S. bond yields and the U.S. dollar rose, a pattern that extended into Thursday.",wall street fourth straight day fed rate hike worry,0.7169548286555818,-0.039220624966949655,Positive
42,03-11-2022,2022,"Asia shares slip, Fed flags higher rates for longer","Investors were initially cheered that the Fed opened the door to a slowdown in the pace of hikes after raising interest rates 75 basis points to 3.75-4.0%, by noting that policy acted with a lag.",asia shares slip fed flags higher rates longer,-0.019971832224671242,-0.41947086393845123,Neutral
43,03-11-2022,2022,Wall Street drops as Jerome Powell signals Fed not close to done,"In a volatile trading session, equities initially moved higher in the wake of the hike by the Fed, the fourth straight increase from the central bank of that magnitude as it attempts to bring down stubbornly high inflation.",wall street drops jerome powell signals fed close done,0.7169548286555818,-0.039220624966949655,Positive
44,02-11-2022,2022,Wall Street slips as jobs data dents hopes for Fed rate deceleration,"A survey showed U.S. job openings unexpectedly rose in September, suggesting that demand for labor remains strong even as the central bank has embarked on a path of aggressive rate hikes in an effort to bring down stubbornly high inflation.",wall street slips jobs data dents hopes fed rate deceleration,0.7169548286555818,-0.039220624966949655,Positive
45,31-10-2022,2022,Fed's Powell is popular. His war on inflation could change that,"That is because Powell, who is in his fifth year of leading the world’s most important central bank, is presiding over the fastest interest rate increases in generations as the Fed tries to wrestle rapid inflation under control.",fed powell popular war inflation could change,0.093603360887613,-0.08387727614615902,Neutral
46,29-10-2022,2022,Wall Street surges to sharply higher close ahead of Fed week,"The Dow Jones Industrial Average rose 828.52 points, or 2.59%, to 32,861.8, the S&P 500 gained 93.76 points, or 2.46%, to 3,901.06 and the Nasdaq Composite added 309.78 points, or 2.87%, to 11,102.45.",wall street surges sharply higher close ahead fed week,0.6452364329369563,-0.05040980008407528,Positive
47,21-10-2022,2022,Wall Street loses ground on fears of prolonged Fed hawkishness,"All three major U.S. stock indexes reversed an earlier rally, turning red after remarks from Philadelphia Federal Reserve President Patrick Harker suggested the central bank will ""keep raising rates for a while.""",wall street loses ground fears prolonged fed hawkishness,0.7169548286555818,-0.03922062496694965,Positive
48,20-10-2022,2022,Wall Street update: US stocks edge higher after solid earnings,"AT&T, American Airlines and IBM were among the companies that reported better-than-expected results.",wall street update us stocks edge higher solid earnings,0.4305261226911651,0.09048120530543594,Positive
49,20-10-2022,2022,Equities close lower as rise in yields overshadows earnings,The yield on the 10-year U.S. Treasury note touched its highest level in more than 14 years as soft housing data did little to alter expectations the Federal Reserve will remain aggressive in hiking interest rates as it attempts to wrestle down stubbornly high inflation.,equities close lower rise yields overshadows earnings,-0.1036267234612706,-0.0014426847649576242,Neutral
50,19-10-2022,2022,"Wall Street oscillates, Treasury yields climb on cautious corporate guidance and recession worries","The three major U.S. stock indexes wavered between red and green out of the starting gate, while the benchmark Treasury yield shot up to touch a new 14-year high.",wall street oscillates treasury yields climb cautious corporate guidance recession worries,0.7225931200293728,0.02504907646821739,Positive
